"cultivo","año","utilidad","rentabilidad"
"AGUACATE","2011",848.021984,5107
"AHUYAMA","2011",9.272016,4154
"AJÍ DULCE","2011",594.806133,58395
"BATATA","2011",31.76652,5351
"BERENJENA","2011",87.626909,11851
"CACAO","2011",401.34252,19052
"CAÑA PANELERA","2011",2163.633384,3359
"COCO","2011",16.158303,126
"COL","2011",19.58718,7708
"LIMÓN CRIOLLO","2011",2.4504,2379
"MARACUYA","2011",171.917079,12273
"ÑAME CRIOLLO ASOCIADO","2011",9662.250931,13135
"ÑAME CRIOLLO SOLO","2011",5481.272722,14949
"ÑAME ESPINO","2011",4991.62111,6437
"NARANJA DULCE","2011",83.68492,3363
"PALMA AFRICANA","2011",-130.0123,-3077
"PAPAYA","2011",165.042828,42365
"PLATANO","2011",95.819856,432
"TABACO NEGRO","2011",377.641643,2029
"TABACO RUBIO","2011",1908.46758,11617
"YUCA ASOCIADA","2011",23070.047224,10143
"YUCA INDUSTRIAL","2011",-740.436375,-1107
"YUCA SOLA","2011",-5748.706748,-6829
"AGUACATE","2012",1650.773128,10394
"AHUYAMA","2012",306.5662,37416
"AJÍ DULCE","2012",439.83464,38046
"BATATA","2012",79.3,122
"BERENJENA","2012",225.3174,28188
"CACAO","2012",-115.647005,-3979
"CAÑA PANELERA","2012",2413.866437,35716
"COCO","2012",44.755189,348
"COL","2012",16.2244,7626
"LIMÓN CRIOLLO","2012",14.9234165,6962
"MARACUYA","2012",93.615358,5911
"ÑAME CRIOLLO ASOCIADO","2012",18218.32412,32366
"ÑAME CRIOLLO SOLO","2012",9964.82793,34371
"ÑAME ESPINO","2012",7935.03846,10916
"NARANJA DULCE","2012",-91.9730925,-3117
"PALMA AFRICANA","2012",-20.0525,-472
"PAPAYA","2012",280.3141,60824
"PLATANO","2012",403.037808,1685
"TABACO NEGRO","2012",876.452104,4126
"TABACO RUBIO","2012",1494.56508,16555
"YUCA ASOCIADA","2012",57916.961632,25013
"YUCA INDUSTRIAL","2012",1364.684751,1642
"YUCA SOLA","2012",11874.968873,30884
"AGUACATE","2013",4284.861156,32759
"AHUYAMA","2013",-23.9967,-2758
"AJÍ DULCE","2013",474.06,14257
"BATATA","2013",78.5,15243
"BERENJENA","2013",265.9362,2723
"CACAO","2013",-1340.840845,-8473
"CAÑA PANELERA","2013",2427.879,53512
"COCO","2013",99.299,83
"COL","2013",15.5955,712
"LIMÓN CRIOLLO","2013",-8.441559,-3605
"MARACUYA","2013",262.95005,804
"ÑAME CRIOLLO ASOCIADO","2013",20984.6146,25793
"ÑAME CRIOLLO SOLO","2013",12322.0794,32936
"ÑAME ESPINO","2013",19084.4504,18728
"NARANJA DULCE","2013",-137.988265,-3928
"PALMA AFRICANA","2013",-6861.2441,-9496
"PAPAYA","2013",186.663,2768
"PLATANO","2013",1053.7195,3868
"TABACO NEGRO","2013",3983.21192,14688
"TABACO RUBIO","2013",5929.78245,26272
"YUCA ASOCIADA","2013",26424.42,11988
"YUCA INDUSTRIAL","2013",3086.7855,3941
"YUCA SOLA","2013",18865.41365,17056
"AGUACATE","2014",7676.5935704,54513
"AHUYAMA","2014",-4.3045,-5893
"AJÍ DULCE","2014",130.55166667,8433
"BATATA","2014",38.16,912
"BERENJENA","2014",155.493,8382
"CACAO","2014",-124.13892,-19
"CAÑA PANELERA","2014",2278.60133333,46651
"COCO","2014",450.07316667,3026
"COL","2014",-14.5436,-8151
"LIMÓN CRIOLLO","2014",-6.5049365,-2109
"MARACUYA","2014",13.295358,809
"ÑAME CRIOLLO ASOCIADO","2014",13851.50540882,32673
"ÑAME CRIOLLO SOLO","2014",7450.99,36217
"ÑAME ESPINO","2014",14659.74236,21077
"NARANJA DULCE","2014",-108.3841575,-2497
"PALMA AFRICANA","2014",-613.641,-1687
"PAPAYA","2014",268.0555875,45018
"PLATANO","2014",1295.9438,4223
"TABACO NEGRO","2014",3256.8884025,15306
"TABACO RUBIO","2014",8487.372465,36391
"YUCA ASOCIADA","2014",21387.25,16496
"YUCA INDUSTRIAL","2014",3040.97375,386
"YUCA SOLA","2014",17118.32445,23433
"AGUACATE","2015",6541.32048375,39485
"AHUYAMA","2015",-6.052476,-6118
"AJÍ DULCE","2015",129.8846084,5682
"BATATA","2015",122.35835,21227
"BERENJENA","2015",127.24455333,441
"CACAO","2015",2242.86625166,19968
"CAÑA PANELERA","2015",2497.0289751,44038
"COCO","2015",634.79367314,34
"COL","2015",2.069324,106
"LIMÓN CRIOLLO","2015",-7.7942524,-22
"MARACUYA","2015",279.9157064,12627
"ÑAME CRIOLLO ASOCIADO","2015",5553.90666847,2852
"ÑAME CRIOLLO SOLO","2015",10619.67356551,22607
"ÑAME ESPINO","2015",4563.995006,9384
"NARANJA DULCE","2015",376.2521559,6064
"PALMA AFRICANA","2015",810.894525,2706
"PAPAYA","2015",103.8301124,23968
"PLATANO","2015",1164.10106616,3461
"TABACO NEGRO","2015",3112.80215396,13515
"TABACO RUBIO","2015",6549.63494476,31117
"YUCA ASOCIADA","2015",10962.57315089,6061
"YUCA INDUSTRIAL","2015",1268.68451409,173
"YUCA SOLA","2015",26409.37091515,35023
